Word,Count
gatsby,189
tom,175
into,168
about,149
daisy,147
over,140
down,118
back,109
came,108
been,107
little,103
,102
just,100
dont,96
its,93
house,91
went,91
after,88
before,87
eyes,86
got,85
didnt,82
looked,82
old,81
away,74
get,74
way,73
car,73
im,72
night,71
new,70
going,70
around,70
moment,70
door,68
any,67
gatsbys,67
something,66
here,66
through,66
never,64
other,64
turned,64
think,64
made,63
hand,63
jordan,63
long,62
wilson,62
people,60
want,59
voice,58
again,55
room,55
knew,54
saw,52
face,52
only,51
right,50
began,50
id,48
took,48
thought,47
toward,47
while,47
girl,47
sport,47
because,45
last,45
off,45
told,44
young,44
day,43
asked,43
heard,43
white,42
afternoon,42
light,42
name,41
until,41
men,40
left,40
head,40
thats,40
suddenly,40
ive,39
seemed,39
wasnt,39
years,38
baker,38
miss,38
hour,38
oh,38
hands,38
west,37
found,36
once,36
half,36
another,36
three,35
daisys,35
next,35
tell,35
minute,34
though,34
looking,34
cant,34
always,33
egg,33
each,33
nothing,32
under,32
small,32
sat,32
five,32
alone,31
along,31
front,31
cried,31
seen,31
youre,31
together,30
things,30
sound,30
table,30
good,30
still,29
life,29
morning,29
york,29
called,29
himself,29
ever,28
world,28
stood,28
couldnt,28
wanted,27
those,27
every,27
moved,27
anything,27
without,27
hes,27
home,27
gave,26
side,26
across,26
shes,26
four,26
inquired,26
might,26
garage,26
great,25
few,25
rather,25
later,25
air,25
hot,25
dark,25
felt,24
started,24
between,24
open,24
love,24
demanded,24
oclock,24
steps,24
wolfshiem,24
sort,23
walked,23
nick,23
broke,23
feet,23
gone,23
east,22
everything,22
town,22
lawn,22
garden,22
word,22
yes,22
yellow,22
hair,22
course,22
wife,22
wouldnt,22
myrtle,22
married,22
road,21
money,21
among,21
buchanan,21
full,21
theres,21
blue,21
beside,21
hadnt,21
girls,21
michaelis,21
matter,20
end,20
woman,20
stopped,20
chicago,20
windows,20
place,20
almost,20
god,20
trying,20
rose,20
met,20
drive,20
has,19
heart,19
city,19
year,19
summer,19
body,19
telephone,19
big,19
ago,19
tried,19
loved,19
perhaps,19
itself,18
business,18
idea,18
days,18
dozen,18
island,18
evening,18
brought,18
inside,18
slowly,18
ought,18
mean,18
doesnt,18
fact,18
passed,18
call,18
far,18
better,18
party,18
behind,18
opened,17
hard,17
find,17
window,17
happened,17
whole,17
answered,17
sitting,17
chair,17
used,17
fell,17
shook,17
several,17
sure,17
wont,17
friend,17
rain,17
times,17
myself,17
remember,16
sent,16
office,16
talked,16
bed,16
arrived,16
bought,16
high,16
believe,16
bright,16
standing,16
porch,16
same,16
outside,16
nodded,16
live,16
