,Word,romeoandjuliet,greatgatsby,mobydick,querybook
0,romeo,294.0,0.0,0.0,0.0
1,thou,277.0,0.0,262.0,104.0
2,juliet,175.0,0.0,0.0,0.0
3,thy,170.0,0.0,113.0,86.0
4,o,155.0,3.0,28.0,119.0
5,nurse,144.0,4.0,3.0,0.0
6,thee,138.0,0.0,128.0,58.0
7,love,137.0,24.0,23.0,67.0
8,capulet,134.0,0.0,0.0,0.0
9,shall,110.0,4.0,89.0,114.0
10,lady,106.0,8.0,8.0,14.0
11,friar,97.0,0.0,2.0,0.0
12,mercutio,82.0,0.0,0.0,0.0
13,good,80.0,30.0,195.0,107.0
14,here,79.0,66.0,283.0,53.0
15,benvolio,78.0,0.0,0.0,0.0
16,lawrence,71.0,0.0,0.0,0.0
17,death,69.0,5.0,75.0,37.0
18,tybalt,68.0,0.0,0.0,0.0
19,night,68.0,71.0,127.0,35.0
20,hath,64.0,0.0,6.0,64.0
21,paris,59.0,0.0,1.0,1.0
22,sir,57.0,3.0,151.0,75.0
23,art,55.0,1.0,39.0,17.0
24,dead,48.0,12.0,90.0,31.0
25,doth,47.0,0.0,0.0,27.0
26,day,45.0,43.0,156.0,21.0
27,fair,44.0,1.0,33.0,21.0
28,tell,44.0,35.0,128.0,42.0
29,tis,40.0,0.0,23.0,74.0
30,montague,39.0,0.0,0.0,0.0
31,ay,34.0,0.0,0.0,37.0
32,prince,34.0,1.0,4.0,3.0
33,exeunt,33.0,0.0,0.0,35.0
34,sweet,33.0,2.0,26.0,26.0
35,gone,33.0,23.0,52.0,14.0
36,exit,32.0,0.0,0.0,38.0
37,wilt,30.0,0.0,9.0,8.0
38,lord,30.0,0.0,60.0,222.0
39,back,29.0,109.0,149.0,8.0
40,eyes,29.0,86.0,153.0,23.0
41,mine,29.0,11.0,40.0,32.0
42,heaven,29.0,0.0,41.0,43.0
43,light,28.0,42.0,75.0,9.0
44,hast,28.0,0.0,27.0,16.0
45,god,28.0,20.0,115.0,31.0
46,scene,27.0,7.0,26.0,23.0
47,word,27.0,22.0,70.0,12.0
48,true,27.0,9.0,81.0,23.0
49,comes,27.0,5.0,52.0,24.0
50,old,27.0,81.0,436.0,20.0
51,again,27.0,55.0,250.0,32.0
52,hence,27.0,0.0,32.0,4.0
53,being,26.0,15.0,211.0,12.0
54,house,26.0,91.0,33.0,5.0
55,stay,26.0,6.0,11.0,11.0
56,heart,26.0,19.0,81.0,29.0
57,servant,26.0,1.0,0.0,4.0
58,stand,25.0,9.0,89.0,16.0
59,hand,25.0,63.0,194.0,20.0
60,dear,25.0,3.0,10.0,28.0
61,peter,25.0,1.0,6.0,0.0
62,part,24.0,9.0,147.0,25.0
63,bed,24.0,16.0,71.0,11.0
64,find,24.0,17.0,53.0,17.0
65,name,24.0,41.0,66.0,11.0
66,life,23.0,29.0,134.0,32.0
67,therefore,23.0,0.0,65.0,15.0
68,away,23.0,74.0,173.0,25.0
69,call,23.0,18.0,54.0,22.0
70,madam,23.0,0.0,0.0,12.0
