Word,Count
hamlet,459
lord,222
king,194
horatio,155
o,119
queen,119
polonius,117
shall,114
good,107
laertes,105
thou,104
ophelia,87
thy,86
rosencrantz,77
sir,75
tis,74
love,67
guildenstern,65
hath,64
thee,58
here,53
father,50
clown,47
marcellus,46
think,46
heaven,43
tell,42
thus,40
exit,38
mother,38
death,37
nor,37
ay,37
play,36
night,35
exeunt,35
soul,34
again,32
might,32
mine,32
life,32
into,32
osric,32
ghost,31
dead,31
god,31
whose,31
indeed,31
nothing,30
made,30
barnardo,29
heart,29
down,29
pray,29
cannot,29
been,28
dear,28
leave,28
both,28
hold,27
doth,27
nature,27
within,27
matter,27
head,26
sweet,26
great,26
never,26
nay,25
part,25
away,25
comes,24
world,24
though,24
itself,24
scene,23
eyes,23
true,23
second,23
seen,22
call,22
madness,22
before,21
off,21
fair,21
denmark,21
day,21
those,21
done,21
himself,21
follow,21
mad,21
friends,20
fear,20
without,20
fortinbras,20
hand,20
still,20
earth,20
old,20
fathers,20
son,20
till,20
poor,20
means,20
words,20
player,20
england,20
act,19
once,19
believe,19
blood,19
gentleman,19
players,19
little,18
about,18
keep,18
many,18
makes,18
since,18
theres,18
reynaldo,18
long,17
farewell,17
art,17
ist,17
young,17
find,17
thoughts,17
noble,17
body,17
faith,17
ear,17
else,17
end,17
th,17
cause,17
stand,16
watch,16
welcome,16
thats,16
question,16
majesty,16
hast,16
use,16
youth,16
marry,16
speech,16
sword,16
castle,15
live,15
therefore,15
something,15
state,15
eye,15
room,15
tongue,15
drink,15
between,15
rest,15
another,15
answer,14
yourself,14
has,14
last,14
mark,14
gone,14
grace,14
heard,14
spirit,14
oer,14
bear,14
grief,14
better,14
reason,14
thine,14
daughter,14
after,14
lady,14
dost,14
sings,14
haste,13
ho,13
form,13
goes,13
other,13
ever,13
duty,13
lets,13
gertrude,13
friend,13
sense,13
while,13
none,13
virtue,13
murder,13
sent,13
same,12
myself,12
together,12
norway,12
een,12
ere,12
fire,12
any,12
voice,12
oft,12
being,12
air,12
ourselves,12
purpose,12
further,12
things,12
whats,12
kind,12
madam,12
mind,12
remember,12
saw,12
gentlemen,12
word,12
hands,12
sleep,12
please,12
bring,12
fit,12
revenge,12
grave,12
help,12
bed,11
honest,11
tonight,11
stay,11
thought,11
full,11
int,11
far,11
twere,11
business,11
doubt,11
best,11
aside,11
face,11
name,11
each,11
hell,11
foul,11
deed,11
way,11
wind,11
free,11
men,11
alas,11
villain,11
right,11
ha,11
passion,11
thousand,11
fortune,11
francisco,10
thanks,10
ground,10
awhile,10
ears,10
peace,10
work,10
almost,10
takes,10
memory,10
late,10
news,10
alone,10
seem,10
kings,10
excellent,10
honour,10
near,10
neither,10
given,10
phrase,10
command,10
mean,10
action,10
aught,10
hes,10
fine,10
pyrrhus,10
lie,10
skull,10
get,9
meet,9
place,9
sight,9
strange,9
fell,9
lost,9
through,9
soft,9
walk,9
dot,9
brothers,9
brother,9
uncle,9
came,9
seek,9
breath,9
shows,9
arms,9
judgment,9
light,9
custom,9
draw,9
sure,9
swear,9
lay,9
falls,9
age,9
hamlets,9
heavens,9
thank,9
behind,9
fall,9
captain,9
hour,8
says,8
sit,8
break,8
looks,8
charge,8
pale,8
ont,8
particular,8
known,8
unto,8
sun,8
wherein,8
power,8
voltemand,8
woe,8
joy,8
wife,8
less,8
black,8
truly,8
back,8
lordship,8
fashion,8
grow,8
shot,8
shame,8
tot,8
wilt,8
adieu,8
fellow,8
hither,8
times,8
heres,8
music,8
letters,8
hope,8
gives,8
three,8
gave,8
quick,8
devil,8
conscience,8
noise,8
husband,8
dies,8
elsinore,7
march,7
law,7
list,7
coming,7
sound,7
wholesome,7
loves,7
whole,7
lose,7
beg,7
beseech,7
dust,7
common,7
seems,7
desire,7
obey,7
rank,7
woman,7
tears,7
mothers,7
forth,7
top,7
service,7
enough,7
every,7
understand,7
fool,7
fortunes,7
general,7
needs,7
offence,7
attendants,7
receive,7
bloody,7
turn,7
struck,6
cold,6
bid,6
dane,6
piece,6
star,6
buried,6
cast,6
toward,6
seald,6
stood,6
hot,6
prologue,6
cock,6
wrong,6
guilty,6
whether,6
sea,6
truth,6
season,6
dare,6
dumb,6
ii,6
cornelius,6
sorrow,6
sister,6
marriage,6
wouldst,6
mouth,6
confess,6
pardon,6
fie,6
note,6
health,6
beast,6
discourse,6
wicked,6
gods,6
point,6
whilst,6
fare,6
withal,6
choice,6
wisdom,6
maid,6
beauty,6
lies,6
double,6
dull,6
false,6
circumstance,6
vows,6
shape,6
souls,6
brain,6
desperate,6
days,6
fat,6
crown,6
court,6
effect,6
vile,6
damned,6
soldiers,6
already,6
lack,6
touch,6
move,6
brought,6
whom,6
pass,6
home,6
c,6
round,6
herself,6
try,6
either,6
bad,6
ambition,6
bodies,6
laugh,6
yours,6
heavy,6
only,6
others,6
speaks,6
anon,6
proof,6
christian,6
feed,6
danish,6
killd,6
poison,6
door,6
slain,6
laid,6
hit,6
wager,6
foils,6
water,6
twelve,5
quiet,5
course,5
figure,5
warlike,5
thyself,5
land,5
cannon,5
terms,5
motive,5
spirits,5
trumpet,5
gainst,5
stir,5
gracious,5
morning,5
kingdom,5
dream,5
writ,5
told,5
dread,5
return,5
france,5
hard,5
colour,5
die,5
visage,5
bound,5
fault,5
throw,5
gentle,5
flesh,5
visit,5
disposition,5
report,5
teach,5
knew,5
yes,5
countenance,5
longer,5
beard,5
perchance,5
warrant,5
silence,5
house,5
perhaps,5
danger,5
moon,5
blessing,5
mans,5
humbly,5
audience,5
flourish,5
keeps,5
choose,5
damnd,5
base,5
cries,5
hearing,5
shalt,5
certain,5
fast,5
wit,5
gifts,5
went,5
natural,5
brief,5
holds,5
sudden,5
table,5
knave,5
under,5
mercy,5
liberty,5
mass,5
ins,5
arm,5
hide,5
found,5
whereon,5
commission,5
read,5
rather,5
reads,5
short,5
four,5
arras,5
presently,5
slave,5
honesty,5
anything,5
save,5
prison,5
cry,5
sing,5
themselves,5
brains,5
twas,5
french,5
fly,5
begin,5
treason,5
mortal,5
conceit,5
drown,5
dangerous,5
nunnery,5
eat,5
patience,5
half,5
year,5
forgot,5
wits,5
next,5
messenger,5
burial,5
drownd,5
alexander,5
woult,5
carriages,5
platform,4
sick,4
twice,4
nights,4
image,4
lands,4
returnd,4
strong,4
main,4
minds,4
high,4
stars,4
stands,4
reenter,4
ease,4
treasure,4
stop,4
violence,4
throat,4
herein,4
birth,4
impart,4
consent,4
brow,4
discretion,4
remembrance,4
freely,4
follows,4
thinking,4
frame,4
commend,4
native,4
favour,4
cousin,4
clouds,4
hang,4
lives,4
died,4
wittenberg,4
sits,4
grows,4
months,4
grown,4
month,4
glad,4
forget,4
servant,4
change,4
deep,4
mock,4
thrift,4
thrice,4
length,4
kept,4
methought,4
motion,4
honourd,4
person,4
ye,4
iii,4
wide,4
affection,4
safety,4
entertainment,4
censure,4
habit,4
above,4
tend,4
pay,4
tender,4
heat,4
leisure,4
iv,4
draws,4
trumpets,4
infinite,4
evil,4
bones,4
horrible,4
puts,4
beneath,4
imagination,4
direct,4
lead,4
pity,4
lend,4
tale,4
start,4
didst,4
unnatural,4
sleeping,4
angel,4
methinks,4
cursed,4
instant,4
bosom,4
yea,4
commandment,4
secret,4
desires,4
wild,4
sorry,4
stage,4
thearth,4
seeing,4
need,4
fingers,4
drift,4
breathe,4
closes,4
consequence,4
b,4
wi,4
chamber,4
hat,4
took,4
sigh,4
over,4
turnd,4
ecstasy,4
violent,4
property,4
meant,4
polack,4
sends,4
white,4
fain,4
thence,4
ten,4
quality,4
argument,4
possible,4
lest,4
ass,4
masters,4
straight,4
modesty,4
cunning,4
priam,4
pause,4
sleeps,4
hecuba,4
tomorrow,4
weep,4
calls,4
pate,4
bestow,4
fellows,4
snow,4
rose,4
quite,4
wretched,4
send,4
hall,4
quantity,4
ready,4
wear,4
kill,4
flowers,4
imports,4
shortly,4
begun,4
hence,4
weeds,4
lights,4
stronger,4
whereto,4
pleasure,4
poisond,4
lovd,4
danes,4
bore,4
practice,4
spade,4
six,4
cup,4
unfold,3
bitter,3
guard,3
appeard,3
fantasy,3
touching,3
along,3
twill,3
appear,3
story,3
beating,3
wonder,3
sometimes,3
offended,3
armour,3
gross,3
scope,3
knows,3
subject,3
sore,3
recover,3
chief,3
sort,3
armed,3
graves,3
doomsday,3
lo,3
avoid,3
offer,3
morn,3
present,3
dew,3
hill,3
advice,3
lords,3
green,3
hearts,3
wisest,3
sometime,3
funeral,3
delight,3
affair,3
worth,3
importing,3
ourself,3
hears,3
giving,3
heartily,3
suit,3
bend,3
bow,3
slow,3
passing,3
suits,3
solemn,3
forms,3
theme,3
cried,3
corse,3
cheer,3
courtier,3
loving,3
smiling,3
rouse,3
fixd,3
flat,3
uses,3
oh,3
winds,3
hercules,3
salt,3
left,3
speed,3
incestuous,3
enemy,3
goodly,3
admiration,3
appears,3
dreadful,3
secrecy,3
third,3
loud,3
foot,3
lookd,3
stayd,3
assume,3
mens,3
inward,3
chaste,3
spring,3
occasion,3
aboard,3
shoulder,3
sail,3
laying,3
few,3
steel,3
purse,3
fancy,3
rich,3
generous,3
edge,3
canst,3
tenders,3
taen,3
honourable,3
presence,3
mere,3
pious,3
ways,3
wont,3
ordnance,3
addition,3
pith,3
complexion,3
natures,3
livery,3
pure,3
corruption,3
often,3
angels,3
defend,3
royal,3
burst,3
ignorance,3
making,3
wherefore,3
beckons,3
waves,3
fee,3
tempt,3
ruld,3
v,3
crimes,3
process,3
wretch,3
stole,3
distracted,3
past,3
boy,3
youll,3
neer,3
saint,3
wondrous,3
ift,3
wanton,3
gaming,3
faults,3
fiery,3
country,3
observe,3
piteous,3
doors,3
close,3
entreat,3
vouchsafe,3
gather,3
profit,3
visitation,3
sovereign,3
liege,3
feast,3
distemper,3
borne,3
likes,3
outward,3
foolish,3
remains,3
faithful,3
prove,3
idle,3
mistress,3
prince,3
provd,3
otherwise,3
encounter,3
thick,3
hits,3
except,3
ah,3
indifferent,3
children,3
happy,3
parts,3
worlds,3
denmarks,3
count,3
dreams,3
shadow,3
beggar,3
justly,3
confession,3
brave,3
golden,3
